date,"Atlanta-Sandy Springs-Roswell, GA Metro Area","Baltimore-Columbia-Towson, MD Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Cincinnati, OH-KY-IN Metro Area","Cleveland-Elyria, OH Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area","Denver-Aurora-Lakewood, CO Metro Area","Detroit-Warren-Dearborn, MI Metro Area","Houston-The Woodlands-Sugar Land, TX Metro Area","Kansas City, MO-KS Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Phoenix-Mesa-Scottsdale, AZ Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Riverside-San Bernardino-Ontario, CA Metro Area","San Diego-Carlsbad, CA Metro Area","San Francisco-Oakland-Hayward, CA Metro Area","St. Louis, MO-IL Metro Area","Tampa-St. Petersburg-Clearwater, FL Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",All Cities Average
1986-07-01,17.3924898097598,,26.902685436778352,19.65766399063117,19.71666811494156,17.539122846923664,20.666294356144288,18.326569535616432,15.024281837434776,16.952864136458995,18.848503511167095,25.134132306573868,12.493264927730126,15.626975078009481,18.598031057073204,29.450075920411194,13.881370755118311,,13.744193390485107,16.067339256894627,,20.183711767223713,25.14276355290442,17.213444807496835,,,18.979164114084625
1986-08-01,17.196281222059046,,26.157753482437176,19.624458477133484,19.088316073380113,17.236724177149117,20.75701557807644,18.226515470817798,14.998773718865277,16.88359809300053,18.896464079897797,25.073421842065233,12.446429820222232,15.5060440584892,18.534718610921466,29.401915534605127,13.779717104348522,,13.851569901348272,15.73620233672565,,20.07626995553507,24.694828958236094,17.44684744895442,,,18.838755521155623
1986-09-01,17.45062950063837,,26.157753482437176,19.525511627668948,19.088316073380113,17.32383967204749,20.718930624042148,18.226515470817798,14.760697945549953,16.42595033500773,19.012861861450716,24.501329604913476,12.446429820222232,15.5060440584892,18.4789476877561,29.644305604964607,13.690600098014821,,13.83924593453349,15.73620233672565,,20.07626995553507,25.733529166944603,17.44684744895442,,,18.847178967147336
1986-10-01,17.45062950063837,,27.541029711016616,19.998676347412175,19.454485264420207,17.32383967204749,20.718930624042148,18.099857872998403,15.142874671604549,16.42595033500773,19.012861861450716,25.05610429149783,12.421942746376937,15.572880455293033,18.4789476877561,30.576851972414264,14.15754023248424,,13.83924593453349,15.583452751805016,,20.406000181882764,25.733529166944603,17.702231053549394,,,19.080850587389335
1986-11-01,17.311691367671504,,27.432515015543736,19.816418319391016,19.28834960887435,17.294327168347237,20.5739162364723,18.23257910396448,15.092607867715403,16.581564601339384,18.94884549154684,25.075740736867346,12.456967021037775,15.466490153292742,18.463260974948163,30.626651405594092,14.100682641189126,,13.627959737059696,15.486316358873013,,20.16069890246119,25.51561629486116,17.64242621890902,,,19.009315486950456
1986-12-01,17.311691367671504,,27.04884347686481,19.865794776997472,19.20634131972097,17.62460077746498,20.5739162364723,18.23257910396448,15.042673681221725,16.581564601339384,18.94884549154684,25.25386359924446,12.433595600735643,15.426967606052642,18.079568934737267,30.428420652159822,13.921768349151833,,13.627959737059696,15.55557537657817,,20.390494102717206,25.51561629486116,17.291914439725403,,,18.969647406013706
1987-01-01,17.60747528948709,,27.929259223206827,20.16558043867041,19.573359048962764,18.2269247355701,20.57440825069779,18.298825858884012,15.512080205119666,16.79906344659372,19.2330554371244,26.0842244181671,11.915786479399406,15.569196841651285,18.48096766699825,31.624740991095933,14.366220945545075,,13.827111567208163,15.884445891939231,,20.86609084587458,26.28613212296906,17.615661872688733,,,19.354314837040647
1987-02-01,17.72203948455651,,27.88599158691991,20.033129992439406,19.778944167974146,17.991839721783727,20.701747647474875,18.182280641895943,15.397458922815824,16.692063042475286,19.362655172307765,25.88028208495234,11.926954039361354,15.713878305449903,18.66029076928052,31.574383123275723,14.343471585377944,,13.803695628906372,15.857538304318782,,21.102456697142554,26.086843782385518,17.571986677963057,,,19.346187208526548
1987-03-01,17.836603679625927,,27.95094343067826,20.066079219400656,19.984529286985524,17.777833132059875,20.720067778136357,18.065735424907878,15.247239811373719,16.396166200220772,19.49225490749113,25.759440300898095,11.849217839849688,15.858559769248519,18.839613871562793,31.64998020976401,14.286912154836232,,13.886000458039543,15.830630716698332,,21.338822548410526,26.166195398453613,17.571986677963057,,,19.360705372219265
1987-04-01,17.836603679625927,,28.72120640733488,20.962017827767816,19.984529286985524,18.09845212644072,19.913202445536346,18.065735424907878,15.806942401838853,16.201410271690484,19.49225490749113,26.298454823092797,12.599894201019225,15.858559769248519,18.839613871562793,33.24185480440272,14.884567893938634,,14.203508526188765,15.830630716698332,,21.338822548410526,26.941899826759872,18.025381587353706,,,19.67359730229979
